,Dimensions after PCA reduction,Null-columns,Number of bits in atom-pair fingerprint
0,2,0,2
1,2,0,3
2,2,0,4
3,2,0,5
4,2,0,6
5,2,0,7
6,2,0,8
7,2,0,9
8,2,0,10
9,2,0,11
10,2,0,12
11,2,0,13
12,2,0,14
13,2,0,15
14,2,0,16
15,2,0,17
16,2,0,18
17,2,0,19
18,2,0,20
19,2,0,21
20,2,0,22
21,2,0,23
22,2,1,24
23,2,0,25
24,2,0,26
25,2,0,27
26,2,1,28
27,2,2,29
28,2,0,30
29,2,0,31
30,2,0,32
31,2,1,33
32,2,1,34
33,2,0,35
34,2,1,36
35,2,0,37
36,2,0,38
37,2,0,39
38,2,1,40
39,2,1,41
40,2,1,42
41,2,1,43
42,2,2,44
43,2,0,45
44,2,2,46
45,2,2,47
46,2,2,48
47,2,1,49
48,2,2,50
49,2,2,51
50,2,2,52
51,2,1,53
52,2,4,54
53,2,2,55
54,2,4,56
55,2,4,57
56,2,6,58
57,2,2,59
58,2,3,60
59,2,2,61
60,2,3,62
61,2,9,63
62,2,3,64
63,2,3,65
64,2,8,66
65,2,5,67
66,2,4,68
67,2,7,69
68,2,6,70
69,2,6,71
70,2,9,72
71,2,8,73
72,2,7,74
73,2,8,75
74,2,7,76
75,2,12,77
76,2,10,78
77,2,12,79
78,2,12,80
79,2,13,81
80,2,8,82
81,2,8,83
82,2,17,84
83,2,11,85
84,2,9,86
85,2,13,87
86,2,15,88
87,2,12,89
88,2,14,90
89,2,14,91
90,2,17,92
91,2,13,93
92,2,19,94
93,2,20,95
94,2,13,96
95,2,20,97
96,2,23,98
97,2,20,99
98,2,16,100
99,2,20,101
100,2,19,102
101,2,21,103
102,2,27,104
103,2,25,105
104,2,24,106
105,2,23,107
106,2,32,108
107,2,19,109
108,2,24,110
109,2,24,111
110,2,28,112
111,2,26,113
112,2,29,114
113,2,30,115
114,2,33,116
115,2,35,117
116,2,32,118
117,2,27,119
118,2,27,120
119,2,30,121
120,2,29,122
121,2,26,123
122,2,36,124
123,2,37,125
124,2,36,126
125,2,30,127
126,2,36,128
127,2,38,129
128,2,37,130
129,2,39,131
130,2,39,132
131,2,34,133
132,2,36,134
133,2,40,135
134,2,40,136
135,2,43,137
136,2,46,138
137,2,49,139
138,2,43,140
139,2,43,141
140,2,46,142
141,2,43,143
142,2,39,144
143,2,46,145
144,2,46,146
145,2,46,147
146,2,45,148
147,2,55,149
148,2,45,150
149,2,51,151
150,2,52,152
151,2,52,153
152,2,57,154
153,2,57,155
154,2,51,156
155,2,53,157
156,2,51,158
157,2,58,159
158,2,55,160
159,2,65,161
160,2,68,162
161,2,57,163
162,2,60,164
163,2,58,165
164,2,54,166
165,2,55,167
166,2,61,168
167,2,66,169
168,2,66,170
169,2,70,171
170,2,53,172
171,2,64,173
172,2,65,174
173,2,64,175
174,2,68,176
175,2,69,177
176,2,64,178
177,2,71,179
178,2,68,180
179,2,75,181
180,2,69,182
181,2,72,183
182,2,73,184
183,2,71,185
184,2,76,186
185,2,81,187
186,2,82,188
187,2,77,189
188,2,83,190
189,2,83,191
190,2,70,192
191,2,83,193
192,2,78,194
193,2,89,195
194,2,95,196
195,2,89,197
196,2,89,198
197,2,84,199
198,2,89,200
199,2,84,201
200,2,83,202
201,2,94,203
202,2,88,204
203,2,90,205
204,2,96,206
205,2,94,207
206,2,91,208
207,2,104,209
208,2,104,210
209,2,98,211
210,2,103,212
211,2,98,213
212,2,105,214
213,2,99,215
214,2,103,216
215,2,98,217
216,2,99,218
217,2,100,219
218,2,108,220
219,2,113,221
220,2,102,222
221,2,103,223
222,2,108,224
223,2,102,225
224,2,113,226
225,2,110,227
226,2,109,228
227,2,111,229
228,2,115,230
229,2,121,231
230,2,112,232
231,2,115,233
232,2,116,234
233,2,120,235
234,2,117,236
235,2,118,237
236,2,111,238
237,2,119,239
238,2,116,240
239,2,125,241
240,2,123,242
241,2,122,243
242,2,123,244
243,2,123,245
244,2,123,246
245,2,127,247
246,2,123,248
247,2,122,249
248,2,127,250
249,2,134,251
250,2,130,252
251,2,132,253
252,2,132,254
253,2,143,255
254,2,134,256
255,2,133,257
256,2,132,258
257,2,143,259
258,2,139,260
259,2,146,261
260,2,136,262
261,2,139,263
262,2,139,264
263,2,135,265
264,2,137,266
265,2,139,267
266,2,148,268
267,2,153,269
268,2,144,270
269,2,144,271
270,2,145,272
271,2,149,273
272,2,155,274
273,2,151,275
274,2,155,276
275,2,153,277
276,2,161,278
277,2,157,279
278,2,151,280
279,2,158,281
280,2,162,282
281,2,152,283
282,2,162,284
283,2,161,285
284,2,170,286
285,2,163,287
286,2,160,288
287,2,166,289
288,2,166,290
289,2,168,291
290,2,167,292
291,2,176,293
292,2,172,294
293,2,176,295
294,2,165,296
295,2,168,297
296,2,176,298
297,2,173,299
298,2,165,300
299,2,179,301
300,2,170,302
301,2,167,303
302,2,180,304
303,2,168,305
304,2,176,306
305,2,172,307
306,2,186,308
307,2,183,309
308,2,183,310
309,2,187,311
310,2,182,312
311,2,176,313
312,2,188,314
313,2,187,315
314,2,184,316
315,2,190,317
316,2,187,318
317,2,187,319
318,2,190,320
319,2,184,321
320,2,195,322
321,2,190,323
322,2,200,324
323,2,195,325
324,2,188,326
325,2,192,327
326,2,197,328
327,2,200,329
328,2,196,330
329,2,205,331
330,2,198,332
331,2,201,333
332,2,202,334
333,2,206,335
334,2,201,336
335,2,200,337
336,2,211,338
337,2,206,339
338,2,210,340
339,2,204,341
340,2,215,342
341,2,214,343
342,2,212,344
343,2,215,345
344,2,218,346
345,2,212,347
346,2,222,348
347,2,218,349
348,2,222,350
349,2,226,351
350,2,219,352
351,2,219,353
352,2,226,354
353,2,232,355
354,2,221,356
355,2,219,357
356,2,230,358
357,2,222,359
358,2,222,360
359,2,231,361
360,2,229,362
361,2,227,363
362,2,230,364
363,2,238,365
364,2,226,366
365,2,235,367
366,2,231,368
367,2,225,369
368,2,229,370
369,2,240,371
370,2,241,372
371,2,244,373
372,2,246,374
373,2,242,375
374,2,248,376
375,2,238,377
376,2,240,378
377,2,252,379
378,2,248,380
379,2,253,381
380,2,252,382
381,2,246,383
382,2,248,384
383,2,252,385
